,title,cast,director,keywords,genres,fea
1145,The Sixth Sense,"['brucewillis', 'tonicollette', 'oliviawilliams', 'haleyjoelosment', 'donniewahlberg']",m.nightshyamalan,"['childabuse', 'senseofguilt', 'lossofchild', 'confidence', 'psychology']","['mystery', 'thriller', 'drama']",childabuse senseofguilt lossofchild confidence psychology brucewillis tonicollette oliviawilliams haleyjoelosment donniewahlberg m.nightshyamalan mystery thriller drama
1146,Man on a Ledge,"['samworthington', 'elizabethbanks', 'jamiebell', 'edharris', 'edwardburns']",asgerleth,"['deception', 'newyorkcity', 'rooftop', 'diamondheist', 'framedforacrime']","['action', 'thriller', 'crime']",deception newyorkcity rooftop diamondheist framedforacrime samworthington elizabethbanks jamiebell edharris edwardburns asgerleth action thriller crime
1147,The Big Year,"['owenwilson', 'stevemartin', 'jackblack', 'rashidajones', 'jimparsons']",davidfrankel,"['helicopter', 'basedonnovel', 'honeymoon', 'airplane', 'birding']",['comedy'],helicopter basedonnovel honeymoon airplane birding owenwilson stevemartin jackblack rashidajones jimparsons davidfrankel comedy
1148,The Karate Kid,"['ralphmacchio', 'patmorita', 'williamzabka', 'martinkove', 'chadmcqueen']",johng.avildsen,"['flat', 'taskmaster', 'karate', 'egg', 'kidsandfamily']",['drama'],flat taskmaster karate egg kidsandfamily ralphmacchio patmorita williamzabka martinkove chadmcqueen johng.avildsen drama
1149,American Hustle,"['christianbale', 'bradleycooper', 'amyadams', 'jeremyrenner', 'jenniferlawrence']",davido.russell,"['conartist', 'scam', 'mobster', 'fbiagent']","['drama', 'crime']",conartist scam mobster fbiagent christianbale bradleycooper amyadams jeremyrenner jenniferlawrence davido.russell drama crime
1150,The Proposal,"['sandrabullock', 'ryanreynolds', 'marysteenburgen', 'craigt.nelson', 'bettywhite']",annefletcher,"['fictitiousmarriage', 'deportation', 'immigrationlaw', 'romanticcomedy', 'alaska']","['comedy', 'romance', 'drama']",fictitiousmarriage deportation immigrationlaw romanticcomedy alaska sandrabullock ryanreynolds marysteenburgen craigt.nelson bettywhite annefletcher comedy romance drama
1151,Double Jeopardy,"['tommyleejones', 'ashleyjudd', 'brucegreenwood', 'annabethgish', 'benjaminweir']",bruceberesford,"['prison', 'sailboat', 'sailingtrip', 'neworleans', ""women'sprison""]","['crime', 'drama', 'mystery', 'thriller']",prison sailboat sailingtrip neworleans women'sprison tommyleejones ashleyjudd brucegreenwood annabethgish benjaminweir bruceberesford crime drama mystery thriller
1152,Back to the Future Part II,"['michaelj.fox', 'christopherlloyd', 'leathompson', 'elisabethshue', 'jamestolkan']",robertzemeckis,"['skateboarding', 'flyingcar', 'carrace', 'delorean', 'lightning']","['adventure', 'comedy', 'family', 'sciencefiction']",skateboarding flyingcar carrace delorean lightning michaelj.fox christopherlloyd leathompson elisabethshue jamestolkan robertzemeckis adventure comedy family sciencefiction
1153,Lucy,"['scarlettjohansson', 'morganfreeman', 'choimin-sik', 'amrwaked', 'julianrhind-tutt']",lucbesson,"['artificialintelligence', 'telepathy', 'intelligence', 'drugmule', 'telekinesis']","['action', 'sciencefiction']",artificialintelligence telepathy intelligence drugmule telekinesis scarlettjohansson morganfreeman choimin-sik amrwaked julianrhind-tutt lucbesson action sciencefiction
1154,Fifty Shades of Grey,"['dakotajohnson', 'jamiedornan', 'jenniferehle', 'eloisemumford', 'victorrasuk']",samtaylor-johnson,"['basedonnovel', 'perversion', 'spanking', 'billionaire', 'bdsm']","['drama', 'romance', 'thriller']",basedonnovel perversion spanking billionaire bdsm dakotajohnson jamiedornan jenniferehle eloisemumford victorrasuk samtaylor-johnson drama romance thriller
1155,Spy Kids 3-D: Game Over,"['antoniobanderas', 'carlagugino', 'alexapenavega', 'darylsabara', 'sylvesterstallone']",robertrodriguez,"['videogame', 'intelligence', 'liberation', 'childhero', 'mission']","['action', 'adventure', 'comedy', 'family', 'sciencefiction']",videogame intelligence liberation childhero mission antoniobanderas carlagugino alexapenavega darylsabara sylvesterstallone robertrodriguez action adventure comedy family sciencefiction
1156,A Time to Kill,"['matthewmcconaughey', 'sandrabullock', 'samuell.jackson', 'kevinspacey', 'oliverplatt']",joelschumacher,"['kukluxklan', 'rape', 'mississippi', 'jurors', 'blackmail']","['crime', 'drama', 'thriller']",kukluxklan rape mississippi jurors blackmail matthewmcconaughey sandrabullock samuell.jackson kevinspacey oliverplatt joelschumacher crime drama thriller
1157,Cheaper by the Dozen,"['stevemartin', 'bonniehunt', 'piperperabo', 'tomwelling', 'hilaryduff']",shawnlevy,"['bigfamily', 'newjob', 'aspiringactor', 'smartkid']",['comedy'],bigfamily newjob aspiringactor smartkid stevemartin bonniehunt piperperabo tomwelling hilaryduff shawnlevy comedy
1158,Lone Survivor,"['markwahlberg', 'taylorkitsch', 'emilehirsch', 'benfoster', 'yousufazami']",peterberg,"['war', 'survival', 'navyseal', 'military', 'dangerousmission']","['action', 'drama', 'thriller', 'war']",war survival navyseal military dangerousmission markwahlberg taylorkitsch emilehirsch benfoster yousufazami peterberg action drama thriller war
1159,A League of Their Own,"['tomhanks', 'geenadavis', 'madonna', 'loripetty', 'jonlovitz']",pennymarshall,"['baseball', 'worldwarii', 'sport', 'baseballplayer', 'femaleathlete']",['comedy'],baseball worldwarii sport baseballplayer femaleathlete tomhanks geenadavis madonna loripetty jonlovitz pennymarshall comedy
1160,The Conjuring 2,"['patrickwilson', 'verafarmiga', 'madisonwolfe', ""franceso'connor"", 'laurenesposito']",jameswan,"['londonengland', 'england', '1970s', 'spirit', 'singlemother']",['horror'],londonengland england 1970s spirit singlemother patrickwilson verafarmiga madisonwolfe franceso'connor laurenesposito jameswan horror
1161,The Social Network,"['jesseeisenberg', 'andrewgarfield', 'justintimberlake', 'armiehammer', 'maxminghella']",davidfincher,"['hacker', 'hacking', 'creator', 'fratparty', 'socialnetwork']",['drama'],hacker hacking creator fratparty socialnetwork jesseeisenberg andrewgarfield justintimberlake armiehammer maxminghella davidfincher drama
1162,He's Just Not That Into You,"['benaffleck', 'jenniferaniston', 'drewbarrymore', 'jenniferconnelly', 'kevinconnolly']",kenkwapis,"['relationship', 'ensemblecast', 'duringcreditsstinger']","['comedy', 'romance', 'drama']",relationship ensemblecast duringcreditsstinger benaffleck jenniferaniston drewbarrymore jenniferconnelly kevinconnolly kenkwapis comedy romance drama
1163,Scary Movie 4,"['annafaris', 'reginahall', 'craigbierko', 'billpullman', 'anthonyanderson']",davidzucker,"['hauntedhouse', 'alienlife-form', 'riesen-ipod']",['comedy'],hauntedhouse alienlife-form riesen-ipod annafaris reginahall craigbierko billpullman anthonyanderson davidzucker comedy
1164,Scream 3,"['davidarquette', 'nevecampbell', 'courteneycox', 'patrickdempsey', 'scottfoley']",wescraven,"['mask', 'metaldetector', 'filmdirector', 'ex-cop', 'reporter']","['horror', 'mystery']",mask metaldetector filmdirector ex-cop reporter davidarquette nevecampbell courteneycox patrickdempsey scottfoley wescraven horror mystery
1165,Back to the Future Part III,"['michaelj.fox', 'christopherlloyd', 'marysteenburgen', 'thomasf.wilson', 'leathompson']",robertzemeckis,"['railroadrobber', 'california', 'delorean', 'indianterritory', 'sportscar']","['adventure', 'comedy', 'family', 'sciencefiction']",railroadrobber california delorean indianterritory sportscar michaelj.fox christopherlloyd marysteenburgen thomasf.wilson leathompson robertzemeckis adventure comedy family sciencefiction
1166,Get Hard,"['willferrell', 'kevinhart', 'alisonbrie', 'craigt.nelson', 't.i.']",etancohen,"['prison', 'training', 'framed', 'embezzlement']",['comedy'],prison training framed embezzlement willferrell kevinhart alisonbrie craigt.nelson t.i. etancohen comedy
1167,Dracula,"['garyoldman', 'winonaryder', 'anthonyhopkins', 'keanureeves', 'richarde.grant']",francisfordcoppola,"['adultery', 'maze', 'vampire', 'bite', 'remake']","['romance', 'horror']",adultery maze vampire bite remake garyoldman winonaryder anthonyhopkins keanureeves richarde.grant francisfordcoppola romance horror
1168,Julie & Julia,"['merylstreep', 'amyadams', 'stanleytucci', 'chrismessina', 'lindaemond']",noraephron,"['cooking', 'book', 'cookbook', 'blog', 'recipe']","['romance', 'drama']",cooking book cookbook blog recipe merylstreep amyadams stanleytucci chrismessina lindaemond noraephron romance drama
1169,42,"['chadwickboseman', 't.r.knight', 'harrisonford', 'nicolebeharie', 'christophermeloni']",brianhelgeland,"['baseball', 'biography', 'sport', 'brooklyndodgers']",['drama'],baseball biography sport brooklyndodgers chadwickboseman t.r.knight harrisonford nicolebeharie christophermeloni brianhelgeland drama
1170,The Talented Mr. Ripley,"['mattdamon', 'gwynethpaltrow', 'judelaw', 'cateblanchett', 'philipseymourhoffman']",anthonyminghella,"['venice', 'italy', 'gay', 'newyork', 'lovesickness']","['thriller', 'crime', 'drama']",venice italy gay newyork lovesickness mattdamon gwynethpaltrow judelaw cateblanchett philipseymourhoffman anthonyminghella thriller crime drama
1171,Dumb and Dumber To,"['jimcarrey', 'jeffdaniels', 'rachelmelvin', 'kathleenturner', 'bradybluhm']",bobbyfarrelly,"['friendship', 'sequel', 'roadmovie', 'buddycomedy']",['comedy'],friendship sequel roadmovie buddycomedy jimcarrey jeffdaniels rachelmelvin kathleenturner bradybluhm bobbyfarrelly comedy
1172,Eight Below,"['paulwalker', 'brucegreenwood', 'moonbloodgood', 'jasonbiggs', 'gerardplunkett']",frankmarshall,"['expedition', 'pilot', 'survival', 'sleddogs', 'seal']","['adventure', 'drama', 'family']",expedition pilot survival sleddogs seal paulwalker brucegreenwood moonbloodgood jasonbiggs gerardplunkett frankmarshall adventure drama family
1173,The Intern,"['robertdeniro', 'annehathaway', 'renerusso', 'andersholm', 'jojokushner']",nancymeyers,"['intern', 'womandirector']",['comedy'],intern womandirector robertdeniro annehathaway renerusso andersholm jojokushner nancymeyers comedy
1174,Ride Along 2,"['kevinhart', 'icecube', 'oliviamunn', 'tikasumpter', 'kenjeong']",timstory,"['police', 'sequel', 'policeofficer', 'brother-in-lawbrother-in-lawrelationship', 'blackmen']","['action', 'comedy']",police sequel policeofficer brother-in-lawbrother-in-lawrelationship blackmen kevinhart icecube oliviamunn tikasumpter kenjeong timstory action comedy
1175,The Last of the Mohicans,"['danielday-lewis', 'madeleinestowe', 'russellmeans', 'ericschweig', 'jodhimay']",michaelmann,"['secretlove', 'mohawk', 'nativeamerican', '18thcentury', 'frenchandindianwar']","['action', 'adventure', 'drama', 'history', 'romance']",secretlove mohawk nativeamerican 18thcentury frenchandindianwar danielday-lewis madeleinestowe russellmeans ericschweig jodhimay michaelmann action adventure drama history romance
1176,Ray,"['jamiefoxx', 'kerrywashington', 'reginaking', 'harrylennix', 'cliftonpowell']",taylorhackford,"['blackpeople', 'soul', 'countrymusic', 'lossofbrother', '1970s']","['drama', 'music']",blackpeople soul countrymusic lossofbrother 1970s jamiefoxx kerrywashington reginaking harrylennix cliftonpowell taylorhackford drama music
1177,Sin City,"['jessicaalba', 'devonaoki', 'cliveowen', 'rosariodawson', 'mickeyrourke']",robertrodriguez,"['dystopia', 'basedoncomicbook', 'heldcaptive', 'basedongraphicnovel', 'blackandwhiteandcolor']","['action', 'thriller', 'crime']",dystopia basedoncomicbook heldcaptive basedongraphicnovel blackandwhiteandcolor jessicaalba devonaoki cliveowen rosariodawson mickeyrourke robertrodriguez action thriller crime
1178,Vantage Point,"['dennisquaid', 'matthewfox', 'forestwhitaker', 'sigourneyweaver', 'williamhurt']",petetravis,"['bomb', 'terror', 'spain', 'usapresident', 'terrorist']","['drama', 'action', 'thriller', 'crime']",bomb terror spain usapresident terrorist dennisquaid matthewfox forestwhitaker sigourneyweaver williamhurt petetravis drama action thriller crime
1179,"I Love You, Man","['paulrudd', 'jasonsegel', 'rashidajones', 'andysamberg', 'j.k.simmons']",johnhamburg,"['poker', 'bondage', 'duringcreditsstinger']",['comedy'],poker bondage duringcreditsstinger paulrudd jasonsegel rashidajones andysamberg j.k.simmons johnhamburg comedy
1180,Shallow Hal,"['gwynethpaltrow', 'jackblack', 'jasonalexander', 'joeviterelli', 'brucemcgill']",bobbyfarrelly,"['overweight', 'beauty', 'hypnosis', 'overweightman', 'overweightwoman']","['comedy', 'romance']",overweight beauty hypnosis overweightman overweightwoman gwynethpaltrow jackblack jasonalexander joeviterelli brucemcgill bobbyfarrelly comedy romance
1181,JFK,"['kevincostner', 'tommyleejones', 'garyoldman', 'kevinbacon', 'michaelrooker']",oliverstone,"['assassination', 'cia', 'homophobia', 'neworleans', 'vietnamwar']","['drama', 'thriller', 'history']",assassination cia homophobia neworleans vietnamwar kevincostner tommyleejones garyoldman kevinbacon michaelrooker oliverstone drama thriller history
1182,Big Momma's House 2,"['martinlawrence', 'nialong', 'emilyprocter', 'zacharylevi', 'markmoses']",johnwhitesell,"['undercover', 'nanny', 'computervirus', 'stress', 'undercoveragent']","['comedy', 'crime']",undercover nanny computervirus stress undercoveragent martinlawrence nialong emilyprocter zacharylevi markmoses johnwhitesell comedy crime
1183,The Mexican,"['bradpitt', 'juliaroberts', 'jamesgandolfini', 'j.k.simmons', 'genehackman']",goreverbinski,"['kidnapping', 'pistol']","['action', 'comedy', 'crime', 'romance']",kidnapping pistol bradpitt juliaroberts jamesgandolfini j.k.simmons genehackman goreverbinski action comedy crime romance
1184,17 Again,"['zacefron', 'lesliemann', 'matthewperry', 'tylersteelman', 'allisonmiller']",burrsteers,"['highschool', 'bullying', 'highschoolsports', 'fakeidentity', 'adultasachild']",['comedy'],highschool bullying highschoolsports fakeidentity adultasachild zacefron lesliemann matthewperry tylersteelman allisonmiller burrsteers comedy
1185,The Other Woman,"['camerondiaz', 'lesliemann', 'kateupton', 'donjohnson', 'nikolajcoster-waldau']",nickcassavetes,"['infidelity', 'revenge', 'unfaithfulboyfriend', 'woman', 'sittingonatoilet']","['comedy', 'romance']",infidelity revenge unfaithfulboyfriend woman sittingonatoilet camerondiaz lesliemann kateupton donjohnson nikolajcoster-waldau nickcassavetes comedy romance
1186,The Final Destination,"['bobbycampo', 'shantelvansanten', 'nickzano', 'haleywebb', 'kristaallen']",davidr.ellis,"['carrace', 'dyinganddeath', 'plan', 'stock-car-race', 'carcrash']","['horror', 'mystery']",carrace dyinganddeath plan stock-car-race carcrash bobbycampo shantelvansanten nickzano haleywebb kristaallen davidr.ellis horror mystery
1187,Bridge of Spies,"['tomhanks', 'markrylance', 'amyryan', 'alanalda', 'sebastiankoch']",stevenspielberg,"['spy', 'cia', 'coldwar', 'sovietunion', 'pilot']","['thriller', 'drama']",spy cia coldwar sovietunion pilot tomhanks markrylance amyryan alanalda sebastiankoch stevenspielberg thriller drama
1188,Behind Enemy Lines,"['owenwilson', 'genehackman', 'gabrielmacht', 'charlesmalikwhitfield', 'davidkeith']",johnmoore,"['helicopter', 'warcrimes', 'sniper', 'bosniaandherzegovina', 'fighterpilot']","['action', 'drama', 'thriller', 'war']",helicopter warcrimes sniper bosniaandherzegovina fighterpilot owenwilson genehackman gabrielmacht charlesmalikwhitfield davidkeith johnmoore action drama thriller war
1189,Get Him to the Greek,"['jonahhill', 'russellbrand', 'rosebyrne', 'elisabethmoss', 'colmmeaney']",nicholasstoller,['aftercreditsstinger'],['comedy'],aftercreditsstinger jonahhill russellbrand rosebyrne elisabethmoss colmmeaney nicholasstoller comedy
1190,Shall We Dance?,"['richardgere', 'jenniferlopez', 'susansarandon', 'lisaannwalter', 'stanleytucci']",peterchelsom,"['jealousy', 'wifehusbandrelationship', 'dancingmaster']","['drama', 'romance', 'comedy']",jealousy wifehusbandrelationship dancingmaster richardgere jenniferlopez susansarandon lisaannwalter stanleytucci peterchelsom drama romance comedy
1191,Small Soldiers,"['gregorysmith', 'kirstendunst', 'denisleary', 'philhartman', 'davidcross']",joedante,"['defenseindustry', 'toyshop', 'technicaltoy', 'soldier', 'prototype']","['comedy', 'adventure', 'fantasy', 'sciencefiction', 'action']",defenseindustry toyshop technicaltoy soldier prototype gregorysmith kirstendunst denisleary philhartman davidcross joedante comedy adventure fantasy sciencefiction action
1192,Spawn,"['michaeljaiwhite', 'martinsheen', 'johnleguizamo', 'theresarandle', 'nicolwilliamson']",marka.z.dippé,"['antihero', 'secretagent', 'fistfight', 'basedoncomicbook', 'burnvictim']","['action', 'adventure', 'fantasy', 'horror', 'sciencefiction']",antihero secretagent fistfight basedoncomicbook burnvictim michaeljaiwhite martinsheen johnleguizamo theresarandle nicolwilliamson marka.z.dippé action adventure fantasy horror sciencefiction
1193,The Count of Monte Cristo,"['jimcaviezel', 'guypearce', 'richardharris', 'jamesfrain', 'dagmaradomińczyk']",kevinreynolds,"['lossoflover', 'lover(female)', 'ex-lover', 'torture', 'napoleonbonaparte']","['action', 'adventure', 'drama', 'thriller']",lossoflover lover(female) ex-lover torture napoleonbonaparte jimcaviezel guypearce richardharris jamesfrain dagmaradomińczyk kevinreynolds action adventure drama thriller
1194,The Lincoln Lawyer,"['matthewmcconaughey', 'marisatomei', 'ryanphillippe', 'williamh.macy', 'joshlucas']",bradfurman,"['judge', 'arrest', 'jury', 'privateinvestigator']","['crime', 'drama', 'thriller']",judge arrest jury privateinvestigator matthewmcconaughey marisatomei ryanphillippe williamh.macy joshlucas bradfurman crime drama thriller
1195,Unknown,"['liamneeson', 'dianekruger', 'januaryjones', 'aidanquinn', 'brunoganz']",jaumecollet-serra,"['taxi', 'hotel', 'coma', 'taxidriver', 'prince']","['action', 'mystery', 'thriller']",taxi hotel coma taxidriver prince liamneeson dianekruger januaryjones aidanquinn brunoganz jaumecollet-serra action mystery thriller
1196,The Prestige,"['hughjackman', 'christianbale', 'michaelcaine', 'scarlettjohansson', 'andyserkis']",christophernolan,"['competition', 'secret', 'obsession', 'magic', 'dyinganddeath']","['drama', 'mystery', 'thriller']",competition secret obsession magic dyinganddeath hughjackman christianbale michaelcaine scarlettjohansson andyserkis christophernolan drama mystery thriller
1197,Horrible Bosses 2,"['jasonbateman', 'jasonsudeikis', 'charlieday', 'jenniferaniston', 'kevinspacey']",seananders,"['prison', 'kidnapping', 'sequel', 'carchase', 'sexaddict']",['comedy'],prison kidnapping sequel carchase sexaddict jasonbateman jasonsudeikis charlieday jenniferaniston kevinspacey seananders comedy
1198,Escape from Planet Earth,"['brendanfraser', 'robcorddry', 'rickygervais', 'jessicaalba', 'sarahjessicaparker']",callanbrunker,"['spaceship', 'alien', 'rescue', 'escape', 'planet']","['animation', 'comedy', 'adventure', 'family', 'sciencefiction']",spaceship alien rescue escape planet brendanfraser robcorddry rickygervais jessicaalba sarahjessicaparker callanbrunker animation comedy adventure family sciencefiction
1199,Apocalypto,"['rudyyoungblood', 'raoulmaxtrujillo', 'gerardotaracena', 'iazualarios', 'antoniomonroy']",melgibson,"['lossoffamily', 'solareclipse', 'slavery', 'jaguar', 'village']","['action', 'adventure', 'drama', 'thriller']",lossoffamily solareclipse slavery jaguar village rudyyoungblood raoulmaxtrujillo gerardotaracena iazualarios antoniomonroy melgibson action adventure drama thriller
1200,The Living Daylights,"['timothydalton', ""maryamd'abo"", 'jeroenkrabbé', 'joedonbaker', 'johnrhys-davies']",johnglen,"['londonengland', 'smugglingofarms', 'prison', 'england', 'assassination']","['action', 'adventure', 'thriller']",londonengland smugglingofarms prison england assassination timothydalton maryamd'abo jeroenkrabbé joedonbaker johnrhys-davies johnglen action adventure thriller
1201,Predators,"['tophergrace', 'alicebraga', 'laurencefishburne', 'adrienbrody', 'dannytrejo']",nimródantal,"['hunter', 'predator', 'yakuza', 'huntinghumanbeings', 'alienlife-form']","['action', 'sciencefiction', 'adventure', 'thriller']",hunter predator yakuza huntinghumanbeings alienlife-form tophergrace alicebraga laurencefishburne adrienbrody dannytrejo nimródantal action sciencefiction adventure thriller
1202,Legal Eagles,"['robertredford', 'debrawinger', 'darylhannah', 'briandennehy', 'terencestamp']",ivanreitman,"['courtcase', 'client', 'lawyer', 'courtroom']","['comedy', 'crime', 'drama', 'romance', 'thriller']",courtcase client lawyer courtroom robertredford debrawinger darylhannah briandennehy terencestamp ivanreitman comedy crime drama romance thriller
1203,Secret Window,"['johnnydepp', 'johnturturro', 'timothyhutton', 'charless.dutton', 'lencariou']",davidkoepp,"['alcohol', 'adultery', 'detective', 'mississippi', 'jealousy']","['thriller', 'mystery']",alcohol adultery detective mississippi jealousy johnnydepp johnturturro timothyhutton charless.dutton lencariou davidkoepp thriller mystery
1204,The Lake House,"['keanureeves', 'sandrabullock', 'shohrehaghdashloo', 'christopherplummer', 'ebonmoss-bachrach']",alejandroagresti,"['chicago', 'writing', 'architect', 'future', 'time']","['romance', 'drama', 'mystery']",chicago writing architect future time keanureeves sandrabullock shohrehaghdashloo christopherplummer ebonmoss-bachrach alejandroagresti romance drama mystery
1205,The Skeleton Key,"['katehudson', 'genarowlands', 'petersarsgaard', 'johnhurt', 'joybryant']",iainsoftley,"['nurse', 'secret', 'dream', 'fight', 'kidnapping']","['drama', 'horror', 'mystery', 'thriller']",nurse secret dream fight kidnapping katehudson genarowlands petersarsgaard johnhurt joybryant iainsoftley drama horror mystery thriller
1206,The Odd Life of Timothy Green,"['jennifergarner', 'joeledgerton', 'ronlivingston', 'rosemariedewitt', 'cjadams']",peterhedges,"['green', 'dodgeball', 'incredibile', 'timothy']","['fantasy', 'drama', 'comedy', 'family']",green dodgeball incredibile timothy jennifergarner joeledgerton ronlivingston rosemariedewitt cjadams peterhedges fantasy drama comedy family
1207,Made of Honor,"['patrickdempsey', 'michellemonaghan', 'kevinmckidd', 'chrismessina', 'richmondarquette']",paulweiland,"['scotland', ""loveofone'slife"", 'ladykiller', 'one-nightstand', 'bridesmaid']","['comedy', 'romance']",scotland loveofone'slife ladykiller one-nightstand bridesmaid patrickdempsey michellemonaghan kevinmckidd chrismessina richmondarquette paulweiland comedy romance
1208,Jersey Boys,"['christopherwalken', 'vincentpiazza', 'freyatingley', 'jamesmadio', 'seanwhalen']",clinteastwood,"['biography', 'basedonplay']","['music', 'drama']",biography basedonplay christopherwalken vincentpiazza freyatingley jamesmadio seanwhalen clinteastwood music drama
1209,The Rainmaker,"['mattdamon', 'dannydevito', 'jonvoight', 'clairedanes', 'marykayplace']",francisfordcoppola,"['jurors', 'proof', 'courtcase', 'leukemia', 'lawyer']","['drama', 'crime', 'thriller']",jurors proof courtcase leukemia lawyer mattdamon dannydevito jonvoight clairedanes marykayplace francisfordcoppola drama crime thriller
1210,Gothika,"['halleberry', 'robertdowneyjr.', 'charless.dutton', 'penélopecruz', 'johncarrolllynch']",mathieukassovitz,"['amnesia', 'mentalinstitution', 'patient', 'trust', 'falseaccusations']","['horror', 'thriller']",amnesia mentalinstitution patient trust falseaccusations halleberry robertdowneyjr. charless.dutton penélopecruz johncarrolllynch mathieukassovitz horror thriller
1211,Amistad,"['morganfreeman', 'nigelhawthorne', 'anthonyhopkins', 'djimonhounsou', 'matthewmcconaughey']",stevenspielberg,"['cuba', 'mutiny', 'slavery', 'sentence', 'historicalfigure']","['drama', 'history', 'mystery']",cuba mutiny slavery sentence historicalfigure morganfreeman nigelhawthorne anthonyhopkins djimonhounsou matthewmcconaughey stevenspielberg drama history mystery
1212,Medicine Man,"['seanconnery', 'lorrainebracco', 'joséwilker', 'rodolfodealexandre', 'angelobarramoreira']",johnmctiernan,"['medicine', 'ant', 'research', 'amazon', 'cancer']",['adventure'],medicine ant research amazon cancer seanconnery lorrainebracco joséwilker rodolfodealexandre angelobarramoreira johnmctiernan adventure
1213,Aliens vs Predator: Requiem,"['stevenpasquale', 'reikoaylesworth', 'johnortiz', 'arielgade', 'samtrammell']",colinstrause,"['predator', 'nationalguard', 'hybrid', 'alien', 'morgue']","['fantasy', 'action', 'sciencefiction', 'thriller', 'horror']",predator nationalguard hybrid alien morgue stevenpasquale reikoaylesworth johnortiz arielgade samtrammell colinstrause fantasy action sciencefiction thriller horror
1214,Ri¢hie Ri¢h,"['macaulayculkin', 'johnlarroquette', 'edwardherrmann', 'christineebersole', 'michaelmaccarone']",donaldpetrie,"['family', 'liferaft', 'privateplane', 'toothbrush', 'gluttony']","['comedy', 'family']",family liferaft privateplane toothbrush gluttony macaulayculkin johnlarroquette edwardherrmann christineebersole michaelmaccarone donaldpetrie comedy family
1215,Autumn in New York,"['richardgere', 'winonaryder', 'anthonylapaglia', 'elainestritch', 'verafarmiga']",joanchen,"['newlove', ""loveofone'slife"", 'unexpectedhappiness', 'dyinganddeath', 'success']","['drama', 'romance']",newlove loveofone'slife unexpectedhappiness dyinganddeath success richardgere winonaryder anthonylapaglia elainestritch verafarmiga joanchen drama romance
1216,Music and Lyrics,"['drewbarrymore', 'hughgrant', 'scottporter', 'bradgarrett', 'haleybennett']",marclawrence,"['popstar', 'song', 'romanticcomedy', 'songwriting', 'piano']","['comedy', 'music', 'romance']",popstar song romanticcomedy songwriting piano drewbarrymore hughgrant scottporter bradgarrett haleybennett marclawrence comedy music romance
1217,Paul,"['sethrogen', 'simonpegg', 'nickfrost', 'jasonbateman', 'kristenwiig']",gregmottola,"['sandiego', 'area51', 'alienspacecraft', 'hitwithachair', 'shotintheknee']","['adventure', 'comedy', 'sciencefiction']",sandiego area51 alienspacecraft hitwithachair shotintheknee sethrogen simonpegg nickfrost jasonbateman kristenwiig gregmottola adventure comedy sciencefiction
1218,The Guilt Trip,"['sethrogen', 'barbrastreisand', 'yvonnestrahovski', 'colinhanks', 'adamscott']",annefletcher,"['inventor', 'roadtrip', 'guilt', 'mothersonrelationship', 'womandirector']",['comedy'],inventor roadtrip guilt mothersonrelationship womandirector sethrogen barbrastreisand yvonnestrahovski colinhanks adamscott annefletcher comedy
1219,Scream 4,"['davidarquette', 'nevecampbell', 'courteneycox', 'emmaroberts', 'haydenpanettiere']",wescraven,"['sheriff', 'book', 'knife', 'horror', 'rescue']","['horror', 'mystery']",sheriff book knife horror rescue davidarquette nevecampbell courteneycox emmaroberts haydenpanettiere wescraven horror mystery
1220,8MM,"['nicolascage', 'joaquinphoenix', 'jamesgandolfini', 'chrisbauer', 'anthonyheald']",joelschumacher,"['pornography', 'pornactor', 'lossofdaughter', 'childpornography', 'privateinvestigator']","['thriller', 'crime', 'mystery']",pornography pornactor lossofdaughter childpornography privateinvestigator nicolascage joaquinphoenix jamesgandolfini chrisbauer anthonyheald joelschumacher thriller crime mystery
1221,The Doors,"['valkilmer', 'megryan', 'kylemaclachlan', 'frankwhaley', 'kevindillon']",oliverstone,"['hippie', 'poetry', 'sex', 'rockandroll', 'nudity']","['drama', 'music']",hippie poetry sex rockandroll nudity valkilmer megryan kylemaclachlan frankwhaley kevindillon oliverstone drama music
1222,Sex Tape,"['camerondiaz', 'jasonsegel', 'robcorddry', 'elliekemper', 'roblowe']",jakekasdan,"['marriage', 'internet', 'relationship', 'family', 'sextape']",['comedy'],marriage internet relationship family sextape camerondiaz jasonsegel robcorddry elliekemper roblowe jakekasdan comedy
1223,Hanging Up,"['megryan', 'dianekeaton', 'lisakudrow', 'waltermatthau', 'adamarkin']",dianekeaton,"['sistersisterrelationship', 'cheating', 'amnesia', 'crisisline', 'telephone']","['comedy', 'drama']",sistersisterrelationship cheating amnesia crisisline telephone megryan dianekeaton lisakudrow waltermatthau adamarkin dianekeaton comedy drama
1224,Final Destination 5,"['emmabell', ""nicholasd'agosto"", 'milesfisher', 'ellenwroe', 'jacquelinemacinneswood']",stevenquale,"['premonition', 'deathbyaccident', 'crash', 'endishere', 'duringcreditsstinger']","['horror', 'mystery']",premonition deathbyaccident crash endishere duringcreditsstinger emmabell nicholasd'agosto milesfisher ellenwroe jacquelinemacinneswood stevenquale horror mystery
1225,Mickey Blue Eyes,"['hughgrant', 'jamescaan', 'jeannetripplehorn', 'burtyoung', 'jamesfox']",kellymakin,"['newyork', 'marriageproposal', 'fbi', 'mafiaboss', 'mafia']","['comedy', 'crime', 'romance']",newyork marriageproposal fbi mafiaboss mafia hughgrant jamescaan jeannetripplehorn burtyoung jamesfox kellymakin comedy crime romance
